[CEL]
Version=3

[HEADER]
Cols=1164
Rows=1164
TotalX=1164
TotalY=1164
OffsetX=0
OffsetY=0
GridCornerUL=277 221
GridCornerUR=8467 275
GridCornerLR=8406 8468
GridCornerLL=217 8414
Axis-invertX=0
AxisInvertY=0
swapXY=0
DatHeader=[11..65534]  25848_Y1_Notreatment_SPR700_HGU133P:CLS=8676 RWS=8676 XIN=1  YIN=1  VE=0         0   08/26/09 14:00:26 50207420  M10      HG-U133_Plus_2.1sq          570  25443.642578  3.500000  1.5625  6
Algorithm=Percentile
AlgorithmParameters=Percentile:75;CellMargin:2;OutlierHigh:1.500000;OutlierLow:1.004000;FeatureExtraction:TRUE;IgnoreShiftRowOutliers:FALSE;FixedCellSize:TRUE;UseSubgrids:FALSE;RandomizePixels:FALSE;ErrorBasis:StdvMean;PercentileSpread:15.000000;StdMult:1.000000;ExtendPoolWidth:2;ExtendPoolHeight:2;OutlierRatioLowPercentile:55;OutlierRatioHighPercentile:75;HalfCellRowsDivisor:5;HalfCellRowsRemainder:4;CellIntensityCalculationType:Percentile;featureRows:1164;featureColumns:1164;featureWidth:11.000000;featureHeight:11.000000;FullFeatureWidth:7;FullFeatureHeight:7

[INTENSITY]
NumberCells=1354896
CellHeader=X	Y	MEAN	STDV	NPIXELS
418	  0	18362.0	2171.8	 25
419	  0	252.0	57.4	 25
420	  0	18387.0	2408.1	 25
421	  0	260.0	65.9	 25
422	  0	18488.0	2796.3	 25
423	  0	280.0	58.4	 25
424	  0	18573.0	2980.1	 25
425	  0	295.0	73.2	 25
426	  0	18637.0	2205.2	 25
427	  0	266.0	100.8	 25
428	  0	18796.0	2064.0	 25
429	  0	301.0	108.3	 25
430	  0	18998.0	2139.4	 25
431	  0	297.0	93.4	 25
432	  0	19060.0	1855.5	 25
433	  0	277.0	61.5	 25
434	  0	18913.0	1774.7	 25
435	  0	290.0	60.2	 25
436	  0	18615.0	1882.5	 25
437	  0	274.0	41.6	 25
438	  0	18685.0	1760.5	 25
439	  0	302.0	43.2	 25
440	  0	18954.0	2247.8	 25
441	  0	281.0	32.2	 25
442	  0	18992.0	1794.6	 25
443	  0	262.0	39.1	 25
444	  0	19014.0	1636.7	 25
445	  0	309.0	56.0	 25
446	  0	18917.0	1950.3	 25
447	  0	281.0	55.6	 25
448	  0	18653.0	1804.3	 25
449	  0	317.0	83.5	 25
450	  0	19241.0	1780.4	 25
451	  0	261.0	44.4	 25
452	  0	19137.0	1546.7	 25
453	  0	289.0	74.7	 25
454	  0	19070.0	2686.2	 25
455	  0	274.0	122.0	 25
456	  0	18840.0	2402.9	 25
457	  0	292.0	116.7	 25
458	  0	19292.0	2168.0	 25
459	  0	250.0	62.7	 25
460	  0	19111.0	2611.3	 25
461	  0	322.0	79.8	 25
462	  0	19044.0	1663.9	 25
463	  0	266.0	84.5	 25
464	  0	19123.0	1861.6	 25
465	  0	308.0	58.8	 25
466	  0	19127.0	1346.8	 25
467	  0	269.0	49.2	 25
468	  0	19435.0	1082.5	 25
469	  0	287.0	61.2	 25
470	  0	19269.0	1054.1	 25
471	  0	332.0	59.2	 25
472	  0	19456.0	1204.0	 25
473	  0	321.0	68.4	 25
474	  0	19325.0	1546.3	 25
475	  0	314.0	48.8	 25
476	  0	19363.0	1683.5	 25
477	  0	336.0	74.5	 25
478	  0	19563.0	2224.8	 25
479	  0	373.0	68.2	 25
480	  0	19460.0	2212.6	 25
481	  0	323.0	77.9	 25
482	  0	19386.0	2142.1	 25
483	  0	275.0	98.9	 25
484	  0	19542.0	2080.6	 25
485	  0	274.0	107.2	 25
486	  0	19588.0	2487.5	 25
487	  0	287.0	81.1	 25
488	  0	19872.0	1926.4	 25
489	  0	308.0	125.8	 25
490	  0	19607.0	1812.3	 25
491	  0	283.0	111.8	 25
492	  0	19642.0	1861.9	 25
493	  0	293.0	113.7	 25
494	  0	19553.0	1625.9	 25
495	  0	315.0	59.6	 25
496	  0	19848.0	2013.9	 25
497	  0	335.0	64.4	 25
498	  0	19770.0	1833.3	 25
499	  0	287.0	119.2	 25
500	  0	19838.0	1988.6	 25
501	  0	330.0	41.3	 25
502	  0	19581.0	1894.5	 25
503	  0	323.0	49.1	 25
504	  0	20219.0	2220.2	 25
505	  0	320.0	59.2	 25
506	  0	19639.0	1957.5	 25
507	  0	342.0	76.3	 25
508	  0	19572.0	1856.9	 25
509	  0	294.0	54.4	 25
510	  0	19695.0	1829.5	 25
511	  0	290.0	63.6	 25
512	  0	20050.0	1622.5	 25
513	  0	283.0	67.7	 25
514	  0	19700.0	2064.8	 25
515	  0	297.0	60.8	 25
516	  0	19814.0	2109.1	 25
517	  0	310.0	95.4	 25
518	  0	19910.0	2164.6	 25
519	  0	307.0	101.6	 25
520	  0	19843.0	1974.5	 25
521	  0	329.0	44.1	 25
522	  0	20016.0	2316.1	 25
523	  0	262.0	69.4	 25
524	  0	20115.0	2131.5	 25
525	  0	289.0	47.2	 25
526	  0	19783.0	2317.0	 25
527	  0	363.0	71.1	 25
528	  0	20259.0	2570.5	 25
529	  0	329.0	73.7	 25
530	  0	19538.0	2086.8	 25
531	  0	284.0	50.9	 25
532	  0	20142.0	2562.5	 25
533	  0	321.0	118.6	 25
534	  0	19790.0	2283.4	 25
535	  0	289.0	90.2	 25
536	  0	19816.0	1851.1	 25
537	  0	318.0	65.9	 25
538	  0	20061.0	1696.6	 25
539	  0	320.0	55.3	 25
540	  0	20115.0	1582.6	 25
541	  0	327.0	54.2	 25
542	  0	24776.0	10545.0	 25
543	  0	312.0	49.6	 25
544	  0	20246.0	1907.4	 25
545	  0	345.0	68.3	 25
546	  0	20061.0	2197.7	 25
547	  0	329.0	53.9	 25
548	  0	20037.0	2465.7	 25
549	  0	311.0	56.8	 25
550	  0	19873.0	1857.3	 25
551	  0	307.0	48.5	 25
552	  0	20040.0	1679.3	 25
553	  0	308.0	92.4	 25
554	  0	19944.0	1810.7	 25
555	  0	379.0	112.3	 25
556	  0	19844.0	2240.6	 25
557	  0	328.0	117.5	 25
558	  0	20212.0	2535.9	 25
559	  0	285.0	111.2	 25
560	  0	19840.0	1897.5	 25
561	  0	324.0	86.3	 25
562	  0	20229.0	2088.8	 25
563	  0	305.0	50.8	 25
564	  0	19903.0	2026.3	 25
565	  0	299.0	83.2	 25
566	  0	19807.0	1990.4	 25
567	  0	307.0	50.8	 25
568	  0	20130.0	2257.4	 25
569	  0	313.0	67.5	 25
570	  0	20165.0	2672.4	 25
571	  0	295.0	48.9	 25
572	  0	19861.0	2031.8	 25
573	  0	355.0	62.3	 25
574	  0	19729.0	1700.1	 25
575	  0	327.0	68.6	 25
576	  0	19962.0	1567.7	 25
577	  0	401.0	72.6	 25
578	  0	20110.0	1479.6	 25
579	  0	321.0	56.3	 25
580	  0	20006.0	1712.4	 25
581	  0	316.0	44.0	 25
582	  0	19875.0	1911.9	 25
583	  0	337.0	46.2	 25
584	  0	20299.0	2329.2	 25
585	  0	309.0	56.0	 25
586	  0	19967.0	3541.9	 25
